CODED_ID,SCHOOL_ID,GRADE,GENDER,FNR_STATUS_CODE,FNR_STATUS_DESCRIPTION,SINGLE_ETHNICITY,LEP_CODE,LEP_DESCRIPTION,PRIM_EX_CODE,PRIM_EX,OTHER_EX_CODES,OTHER_EX,GIFTED,ESE,HOMELESS_CODE,HOMELESS_CAUSE,HOMELESS_UNAC_YTH,GIFTED_ELIG,S504,PRIM_HOME_LANG,LNF,PSF,NWF_Letter,NWF_Word,ORF_WC,UnifiedScore,FAST_Equivalent_Score,PR,NCE,Overall_Scale_Score,Phonological_Awareness_Scale_Score,Phonics_Scale_Score,Vocabulary_Scale_Score,FAST_PM3_AchievementLevel,iReady_Spring_Placement
1209990,101,2,M,D,Direct Cert/Free Lunch [D],White,ZZ,Not applicable [ZZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,,,,,95.0,917.0,177.0,69.0,60.4,477.0,,485.0,500.0,Level 3,Mid or Above Grade Level
1209991,101,2,M,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,,,31.0,7.0,9.0,745.0,119.0,8.0,20.4,394.0,,430.0,391.0,Level 1,1 Grade Level Below
1209992,101,2,F,D,Direct Cert/Free Lunch [D],Hispanic,ZZ,Tested - not eligible [TZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,,,94.0,877.0,164.0,52.0,51.1,517.0,,532.0,492.0,Level 4,Mid or Above Grade Level
1210082,101,2,F,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,115.0,35.0,54.0,895.0,170.0,60.0,55.3,472.0,,532.0,468.0,Level 3,Early On Grade Level
1210084,101,2,M,3,Eligible for Reduced Lunch [3],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,44.0,9.0,16.0,762.0,125.0,12.0,25.3,394.0,368.0,384.0,425.0,Level 2,1 Grade Level Below
1210085,101,2,F,0,Paid Lunch [0],Hispanic,ZZ,Tested - not eligible [TZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,109.0,28.0,57.0,805.0,139.0,26.0,36.5,460.0,,502.0,462.0,Level 2,Early On Grade Level
1210086,101,2,M,0,Paid Lunch [0],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,23.0,7.0,9.0,738.0,117.0,7.0,18.9,401.0,410.0,385.0,380.0,Level 1,2 Grade Levels Below
1210131,101,2,M,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,38.0,11.0,11.0,748.0,120.0,9.0,21.8,415.0,455.0,393.0,413.0,Level 1,2 Grade Levels Below
1210135,101,2,F,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Section 504 Eligible + Plan [Y],SP,,,80.0,21.0,61.0,842.0,152.0,39.0,44.1,424.0,,458.0,446.0,Level 2,Early On Grade Level
1210146,101,2,F,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],K,K - Specific Learning Disabled,,,N,Y,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,22.0,5.0,7.0,748.0,120.0,9.0,21.8,387.0,353.0,364.0,431.0,Level 1,1 Grade Level Below
1210446,101,1,M,0,Paid Lunch [0],White,ZZ,Not applicable [ZZ],F,F - Speech Impaired,,,N,Y,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,22.0,5.0,14.0,2.0,0.0,734.0,115.0,36.0,42.5,351.0,347.0,324.0,329.0,Level 1,1 Grade Level Below
1210492,101,2,M,0,Paid Lunch [0],Other,ZZ,Not applicable [ZZ],,,,,Y,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,,,,,111.0,1012.0,210.0,96.0,86.9,516.0,,509.0,529.0,Level 5,Mid or Above Grade Level
1210501,101,2,F,F,Eligible for Free Lunch [F],Hispanic,LY,LEP in LEP classes [LY],K,K - Specific Learning Disabled,,,N,Y,D,Other homelessness causes [N],"N - No, Is homeless but does not meet the definiton of unaccompanied youth",Z,Not 504 Eligible[Z],SP,,,37.0,10.0,10.0,615.0,75.0,3.0,10.4,370.0,368.0,389.0,375.0,Level 1,2 Grade Levels Below
